id,year,country,state_province,district,actors,side_a,side_b,conflict,deaths_a,deaths_b,deaths_civilians,deaths_unknown,deaths_total,latitude,longitude,location_name,headline,date,month,month_name,year_month,violence_type,severity
240332,2015,Cameroon,Far North region,Mayo-Tsanaga department,Government of Cameroon - Civilians,Government of Cameroon,Civilians,Government of Cameroon - Civilians,0,0,30,0,30,11.13562,13.88216,"Achigachiya (35 km south-west of Limani,
on the Nigerian border)",2.1 UNNECESSARY OR EXCESSIVE USE OF FORCE DURING ARRESTS,2015-01-01,1,Jan,2015-01,One-sided (civilians),High (21–50)
252883,2015,Niger,Agadez region,Arlit department,Toubou  - Tuareg,Toubou,Tuareg,Toubou  - Tuareg,0,0,0,6,6,21.054862,8.624676,Tchibarakaten,Regional insecurity (pp. 7),2015-01-01,1,Jan,2015-01,Non-state conflict,Medium (6–20)
188419,2015,Nigeria,Borno state,Damboa lga,JAS - Civilians,JAS,Civilians,JAS - Civilians,0,0,2,0,2,11.09826,12.76417,Malari village in Damboa,"Nigeria's Boko Haramkills dozens of soldiers in northeast, abducts 40 young men",2015-01-01,1,Jan,2015-01,One-sided (civilians),Low (1–5)
193673,2015,Nigeria,Borno state,Mobbar lga,JAS - Civilians,JAS,Civilians,JAS - Civilians,0,0,100,0,100,13.09771,12.4952,Damasak (under a bridge outside),"At least 70 bodies found near Nigerian town freed from Boko Haram -Reuters witness;100 Bodies Found in Nigerian Town;'Hundreds' found dead, buried in Damasak, NE Nigeria",2015-01-01,1,Jan,2015-01,One-sided (civilians),Severe (50+)
216216,2015,Nigeria,Rivers state,Etche lga,Deebam - Deewell,Deebam,Deewell,Deebam - Deewell,0,0,0,3,3,4.990833,7.054444,Etche LGA,Rise in cult violence and insecurity in Rivers state,2015-01-01,1,Jan,2015-01,Non-state conflict,Low (1–5)
216209,2015,Nigeria,Rivers state,Degema lga,Greenlanders - NDV,Greenlanders,NDV,Greenlanders - NDV,0,0,0,1,1,4.57414,6.93798,Degema LGA,Rise in cult violence and insecurity in Rivers state,2015-01-01,1,Jan,2015-01,Non-state conflict,Low (1–5)
203307,2015,Cameroon,Far North region,,JAS - Civilians,JAS,Civilians,JAS - Civilians,0,0,11,0,11,11.2728,14.967645,between Kousseri and Maroua,BOKO HARAM’S VIOLENCE ACCELERATES AHEAD OF NIGERIAN ELECTIONS;At least 15 killed in 'Boko Haram' attack on Cameroon bus -sources,2015-01-01,1,Jan,2015-01,One-sided (civilians),Medium (6–20)
188412,2015,Nigeria,Kaduna state,Sanga lga,Christians (Nigeria) - Muslims (Nigeria),Christians (Nigeria),Muslims (Nigeria),Christians (Nigeria) - Muslims (Nigeria),15,0,0,0,15,9.25,8.45,"Ambe-Madaki village, in Kaduna’s Sanga Local Government Area",Attacks by Islamic Extremists in Nigeria Leave at Least 28 Christians Dead;Gunmen Kill 15 in Kaduna Village,2015-01-02,1,Jan,2015-01,Non-state conflict,Medium (6–20)
188437,2015,Nigeria,Plateau state,Mangu lga,Christians (Nigeria) - Muslims (Nigeria),Christians (Nigeria),Muslims (Nigeria),Christians (Nigeria) - Muslims (Nigeria),10,0,0,0,10,9.39052,9.17968,"Shurun Village, Mangu LGA","Fulani Herdsmen Kill 15 in Kaduna, 10 in Plateau",2015-01-02,1,Jan,2015-01,Non-state conflict,Medium (6–20)
188443,2015,Nigeria,Kaduna state,Kaura lga,Atakar - Fulani,Atakar,Fulani,Atakar - Fulani,1,0,0,0,1,9.61667,8.53333,Zangang (outside),Gunmen kill 100 Christian villagers in central Nigeria,2015-01-03,1,Jan,2015-01,Non-state conflict,Low (1–5)
